kT/e	omega
0.3	2.662
0.35	2.476
0.4	2.318
0.45	2.184
0.5	2.066
0.55	1.966
0.6	1.877
0.65	1.798
0.7	1.729
0.75	1.667
0.8	1.612
0.85	1.562
0.9	1.517
0.95	1.476
1	1.439
1.05	1.406
1.1	1.375
1.15	1.346
1.2	1.32
1.25	1.296
1.3	1.273
1.35	1.253
1.4	1.233
1.45	1.215
1.5	1.198
1.55	1.182
1.6	1.167
1.65	1.153
1.7	1.14
1.75	1.128
1.8	1.116
1.85	1.105
1.9	1.094
1.95	1.084
2	1.075
2.1	1.057
2.2	1.041
2.3	1.026
2.4	1.012
2.5	0.996
2.6	0.9878
2.7	0.977
2.8	0.9672
2.9	0.9576
3	0.949
3.1	0.9406
3.2	0.9328
3.3	0.9256
3.4	0.9186
3.5	0.912
3.6	0.9058
3.7	0.8998
3.8	0.8942
3.9	0.8888
4	0.8836
4.1	0.8788
4.2	0.874
4.3	0.8694
4.4	0.8652
4.5	0.861
4.6	0.8568
4.7	0.853
4.8	0.8492
4.9	0.8456
5	0.8422
6	0.8124
7	0.7896
8	0.7712
9	0.7556
10	0.7424
20	0.664
30	0.6232
40	0.596
50	0.5756
60	0.5596
70	0.5464
80	0.5352
90	0.5256
100	0.517
